CartDto(cart_id=1, user_id=33)
CartDto(cart_id=2, user_id=142)
CartDto(cart_id=3, user_id=108)
CartDto(cart_id=4, user_id=87)
CartDto(cart_id=5, user_id=134)
CartDto(cart_id=6, user_id=150)
CartDto(cart_id=7, user_id=86)
CartDto(cart_id=8, user_id=23)
CartDto(cart_id=9, user_id=194)
CartDto(cart_id=10, user_id=160)
CartDto(cart_id=11, user_id=172)
CartDto(cart_id=12, user_id=202)
CartDto(cart_id=13, user_id=41)
CartDto(cart_id=14, user_id=94)
CartDto(cart_id=15, user_id=11)
CartDto(cart_id=16, user_id=200)
CartDto(cart_id=17, user_id=141)
CartDto(cart_id=18, user_id=189)
CartDto(cart_id=19, user_id=59)
CartDto(cart_id=20, user_id=90)
CartDto(cart_id=21, user_id=42)
CartDto(cart_id=22, user_id=140)
CartDto(cart_id=23, user_id=147)
CartDto(cart_id=24, user_id=6)
CartDto(cart_id=25, user_id=118)
CartDto(cart_id=26, user_id=66)
CartDto(cart_id=27, user_id=75)
CartDto(cart_id=28, user_id=147)
CartDto(cart_id=29, user_id=170)
CartDto(cart_id=30, user_id=177)
CartDto(cart_id=31, user_id=143)
CartDto(cart_id=32, user_id=164)
CartDto(cart_id=33, user_id=181)
CartDto(cart_id=34, user_id=203)
CartDto(cart_id=35, user_id=153)
CartDto(cart_id=36, user_id=176)
CartDto(cart_id=37, user_id=33)
CartDto(cart_id=38, user_id=15)
CartDto(cart_id=39, user_id=81)
CartDto(cart_id=40, user_id=187)
CartDto(cart_id=41, user_id=184)
CartDto(cart_id=42, user_id=67)
CartDto(cart_id=43, user_id=35)
CartDto(cart_id=44, user_id=20)
CartDto(cart_id=45, user_id=50)
CartDto(cart_id=46, user_id=93)
CartDto(cart_id=47, user_id=23)
CartDto(cart_id=48, user_id=33)
CartDto(cart_id=49, user_id=86)
CartDto(cart_id=50, user_id=52)
