MostOrderedCategoryDto(user_id=6, category_name='mobile-accessories', total_orders=5)
MostOrderedCategoryDto(user_id=11, category_name='furniture', total_orders=5)
MostOrderedCategoryDto(user_id=11, category_name='groceries', total_orders=5)
MostOrderedCategoryDto(user_id=15, category_name='sports-accessories', total_orders=9)
MostOrderedCategoryDto(user_id=20, category_name='sports-accessories', total_orders=5)
MostOrderedCategoryDto(user_id=23, category_name='groceries', total_orders=11)
MostOrderedCategoryDto(user_id=33, category_name='kitchen-accessories', total_orders=8)
MostOrderedCategoryDto(user_id=33, category_name='vehicle', total_orders=8)
MostOrderedCategoryDto(user_id=35, category_name='sports-accessories', total_orders=3)
MostOrderedCategoryDto(user_id=41, category_name='groceries', total_orders=4)
MostOrderedCategoryDto(user_id=42, category_name='kitchen-accessories', total_orders=2)
MostOrderedCategoryDto(user_id=42, category_name='mens-shoes', total_orders=2)
MostOrderedCategoryDto(user_id=50, category_name='sports-accessories', total_orders=5)
MostOrderedCategoryDto(user_id=52, category_name='groceries', total_orders=1)
MostOrderedCategoryDto(user_id=52, category_name='mens-shirts', total_orders=1)
MostOrderedCategoryDto(user_id=59, category_name='sports-accessories', total_orders=5)
MostOrderedCategoryDto(user_id=66, category_name='groceries', total_orders=5)
MostOrderedCategoryDto(user_id=67, category_name='kitchen-accessories', total_orders=4)
MostOrderedCategoryDto(user_id=75, category_name='mens-shirts', total_orders=5)
MostOrderedCategoryDto(user_id=81, category_name='groceries', total_orders=5)
MostOrderedCategoryDto(user_id=86, category_name='mobile-accessories', total_orders=8)
MostOrderedCategoryDto(user_id=87, category_name='groceries', total_orders=5)
MostOrderedCategoryDto(user_id=87, category_name='sunglasses', total_orders=5)
MostOrderedCategoryDto(user_id=87, category_name='womens-shoes', total_orders=5)
MostOrderedCategoryDto(user_id=90, category_name='mens-shoes', total_orders=5)
MostOrderedCategoryDto(user_id=90, category_name='skin-care', total_orders=5)
MostOrderedCategoryDto(user_id=90, category_name='tops', total_orders=5)
MostOrderedCategoryDto(user_id=93, category_name='laptops', total_orders=2)
MostOrderedCategoryDto(user_id=94, category_name='kitchen-accessories', total_orders=9)
MostOrderedCategoryDto(user_id=108, category_name='smartphones', total_orders=8)
MostOrderedCategoryDto(user_id=118, category_name='beauty', total_orders=1)
MostOrderedCategoryDto(user_id=118, category_name='smartphones', total_orders=1)
MostOrderedCategoryDto(user_id=134, category_name='laptops', total_orders=5)
MostOrderedCategoryDto(user_id=134, category_name='sports-accessories', total_orders=5)
MostOrderedCategoryDto(user_id=140, category_name='kitchen-accessories', total_orders=7)
MostOrderedCategoryDto(user_id=141, category_name='kitchen-accessories', total_orders=7)
MostOrderedCategoryDto(user_id=142, category_name='sports-accessories', total_orders=8)
MostOrderedCategoryDto(user_id=143, category_name='groceries', total_orders=4)
MostOrderedCategoryDto(user_id=147, category_name='sports-accessories', total_orders=9)
MostOrderedCategoryDto(user_id=150, category_name='womens-bags', total_orders=5)
MostOrderedCategoryDto(user_id=153, category_name='kitchen-accessories', total_orders=7)
MostOrderedCategoryDto(user_id=160, category_name='womens-watches', total_orders=5)
MostOrderedCategoryDto(user_id=164, category_name='mens-watches', total_orders=5)
MostOrderedCategoryDto(user_id=170, category_name='sports-accessories', total_orders=5)
MostOrderedCategoryDto(user_id=172, category_name='groceries', total_orders=6)
MostOrderedCategoryDto(user_id=176, category_name='mobile-accessories', total_orders=5)
MostOrderedCategoryDto(user_id=176, category_name='tops', total_orders=5)
MostOrderedCategoryDto(user_id=177, category_name='groceries', total_orders=4)
MostOrderedCategoryDto(user_id=177, category_name='home-decoration', total_orders=4)
MostOrderedCategoryDto(user_id=177, category_name='vehicle', total_orders=4)
MostOrderedCategoryDto(user_id=181, category_name='kitchen-accessories', total_orders=5)
MostOrderedCategoryDto(user_id=184, category_name='fragrances', total_orders=5)
MostOrderedCategoryDto(user_id=184, category_name='groceries', total_orders=5)
MostOrderedCategoryDto(user_id=184, category_name='mobile-accessories', total_orders=5)
MostOrderedCategoryDto(user_id=187, category_name='tops', total_orders=5)
MostOrderedCategoryDto(user_id=189, category_name='groceries', total_orders=8)
MostOrderedCategoryDto(user_id=194, category_name='smartphones', total_orders=5)
MostOrderedCategoryDto(user_id=200, category_name='groceries', total_orders=3)
MostOrderedCategoryDto(user_id=200, category_name='sports-accessories', total_orders=3)
MostOrderedCategoryDto(user_id=202, category_name='womens-dresses', total_orders=5)
MostOrderedCategoryDto(user_id=203, category_name='kitchen-accessories', total_orders=8)
